booking_id,guest_name,guest_email,room_id,check_in,check_out,nights,guests_count,amount,status
BK-2020-00023,Lucas Garcia,lucas.garcia.107@yahoo.com,R-206,2020-02-15,2020-02-16,1,2,3800,Completed
BK-2020-00024,Isabella Patel,isabella.patel.044.2@icloud.com,R-403,2020-02-16,2020-02-19,3,4,13200,Completed
BK-2020-00025,Noah Garcia,noah.garcia.043.2@proton.me,R-303,2020-02-16,2020-02-18,2,3,8800,Completed
BK-2020-00026,Kenji Singh,kenji.singh.101@outlook.com,R-305,2020-02-18,2020-02-22,4,4,23200,Completed
BK-2020-00027,Hannah Chua,hannah.chua.070@gmail.com,R-306,2020-02-21,2020-02-28,7,1,43000,Completed
BK-2020-00028,Rafael Tanaka,rafael.tanaka.049.2@icloud.com,R-306,2020-02-25,2020-03-03,7,4,40600,Completed
BK-2020-00029,Miguel Garcia,miguel.garcia.099@icloud.com,R-306,2020-02-27,2020-02-29,2,4,11600,Completed
BK-2020-00030,Grace Chua,grace.chua.110@gmail.com,R-205,2020-02-28,2020-03-01,2,2,7600,Completed
BK-2020-00031,Nina Patel,nina.patel.116@outlook.com,R-303,2020-02-29,2020-03-03,3,2,14000,Completed
BK-2020-00032,Julia Patel,julia.patel.060.2@gmail.com,R-301,2020-03-02,2020-03-09,7,1,28200,Completed
BK-2020-00033,Hannah Patel,hannah.patel.100@gmail.com,R-205,2020-03-03,2020-03-05,2,2,8100,Completed
BK-2020-00034,Lucas Tanaka,lucas.tanaka.017.2@yahoo.com,R-401,2020-03-05,2020-03-07,2,3,13000,Completed
BK-2020-00035,Daniel Garcia,daniel.garcia.051.2@outlook.com,R-105,2020-03-05,2020-03-09,4,2,19700,Completed
BK-2020-00036,Andre Tanaka,andre.tanaka.025.2@gmail.com,R-204,2020-03-06,2020-03-11,5,1,21200,Completed
BK-2020-00037,Daniel Garcia,daniel.garcia.051.2@outlook.com,R-401,2020-03-07,2020-03-09,2,3,13700,Completed
BK-2020-00038,Daniel Singh,daniel.singh.021.2@outlook.com,R-304,2020-03-07,2020-03-11,4,5,20800,Completed
BK-2020-00039,Amara OBrien,amara.obrien.042.2@yahoo.com,R-306,2020-03-08,2020-03-11,3,1,19500,Completed
BK-2020-00040,Amara Chua,amara.chua.102@yahoo.com,R-302,2020-03-09,2020-03-15,6,1,24200,Completed
BK-2020-00041,Isabella OBrien,isabella.obrien.074@icloud.com,R-202,2020-03-11,2020-03-13,2,1,5400,Completed
BK-2020-00042,James Chua,james.chua.094@icloud.com,R-104,2020-03-12,2020-03-15,3,1,0,Cancelled
BK-2020-00043,Lucas Lee,lucas.lee.047.2@yahoo.com,R-203,2020-03-13,2020-03-16,3,1,12700,Completed
BK-2020-00044,Chen Garcia,chen.garcia.067@yahoo.com,R-304,2020-03-14,2020-03-15,1,1,5200,Completed
BK-2020-00045,Grace OBrien,grace.obrien.050.2@gmail.com,R-205,2020-03-14,2020-03-16,2,1,8500,Completed
BK-2020-00046,Rafael Tanaka,rafael.tanaka.049.2@icloud.com,R-206,2020-03-17,2020-03-20,3,2,0,Cancelled
BK-2020-00047,Elena Patel,elena.patel.028.2@proton.me,R-206,2020-03-17,2020-03-19,2,2,0,Cancelled
BK-2020-00048,Miguel Lee,miguel.lee.039.2@icloud.com,R-205,2020-03-20,2020-03-23,3,3,0,Cancelled
BK-2020-00049,Julia OBrien,julia.obrien.090@gmail.com,R-105,2020-03-20,2020-03-23,3,1,15600,Completed
BK-2020-00050,Hannah OBrien,hannah.obrien.010.2@gmail.com,R-304,2020-03-22,2020-03-25,3,5,14800,Completed
BK-2020-00051,Aiko Garcia,aiko.garcia.003.2@proton.me,R-301,2020-03-25,2020-03-29,4,3,16100,Completed
BK-2020-00052,Andre Lee,andre.lee.055.2@gmail.com,R-303,2020-03-26,2020-03-27,1,1,4900,Completed
BK-2020-00053,Aiko Tanaka,aiko.tanaka.033.2@proton.me,R-304,2020-03-26,2020-03-28,2,4,9900,Completed
BK-2020-00054,Lucas Garcia,lucas.garcia.107@yahoo.com,R-106,2020-03-26,2020-03-30,4,2,0,Cancelled
BK-2020-00055,Ethan Singh,ethan.singh.045.2@gmail.com,R-404,2020-03-30,2020-04-06,7,3,34500,Completed
BK-2020-00056,Oscar Garcia,oscar.garcia.027.2@yahoo.com,R-306,2020-03-31,2020-04-04,4,4,26000,Completed
BK-2020-00057,Aiko Singh,aiko.singh.093@proton.me,R-206,2020-04-01,2020-04-05,4,1,16100,Completed
BK-2020-00058,Oscar Tanaka,oscar.tanaka.057.2@yahoo.com,R-403,2020-04-03,2020-04-08,5,2,26000,Completed
BK-2020-00059,Kenji Singh,kenji.singh.101@outlook.com,R-205,2020-04-06,2020-04-12,6,1,24200,Completed
BK-2020-00060,Amara Chua,amara.chua.102@yahoo.com,R-304,2020-04-07,2020-04-09,2,3,9900,Completed
BK-2020-00061,Priya Garcia,priya.garcia.035.2@gmail.com,R-106,2020-04-08,2020-04-12,4,1,19700,Completed
BK-2020-00062,Samir Lee,samir.lee.119@icloud.com,R-306,2020-04-09,2020-04-12,3,1,19500,Completed
BK-2020-00063,Priya Lee,priya.lee.095@gmail.com,R-402,2020-04-09,2020-04-12,3,3,19500,Completed
BK-2020-00064,Amara Patel,amara.patel.012.2@yahoo.com,R-302,2020-04-09,2020-04-11,2,1,8100,Completed
BK-2020-00065,Ethan Lee,ethan.lee.015.2@gmail.com,R-205,2020-04-09,2020-04-12,3,3,12100,Completed
BK-2020-00066,Ethan Singh,ethan.singh.045.2@gmail.com,R-202,2020-04-10,2020-04-14,4,2,11300,Completed
BK-2020-00067,Ethan Tanaka,ethan.tanaka.105@gmail.com,R-101,2020-04-10,2020-04-13,3,1,8500,Completed
BK-2020-00068,Amara Bennett,amara.bennett.072@yahoo.com,R-103,2020-04-13,2020-04-16,3,1,8100,Completed
BK-2020-00069,Rafael Singh,rafael.singh.109@icloud.com,R-402,2020-04-14,2020-04-15,1,2,6500,Completed
BK-2020-00070,Clara OBrien,clara.obrien.114@icloud.com,R-105,2020-04-14,2020-04-20,6,3,29600,Completed
BK-2020-00071,James Patel,james.patel.004.2@icloud.com,R-103,2020-04-14,2020-04-17,3,1,8100,Completed
BK-2020-00072,Mei Chua,mei.chua.022.2@yahoo.com,R-104,2020-04-17,2020-04-18,1,1,2800,Completed
BK-2020-00073,Sofia Bennett,sofia.bennett.008.2@proton.me,R-104,2020-04-18,2020-04-21,3,2,8500,Completed
BK-2020-00074,Samir Lee,samir.lee.119@icloud.com,R-201,2020-04-21,2020-04-26,5,1,13400,Completed
BK-2020-00075,Isabella Bennett,isabella.bennett.104@icloud.com,R-306,2020-04-22,2020-04-23,1,2,6500,Completed
BK-2020-00076,Arjun Singh,arjun.singh.053.2@proton.me,R-302,2020-04-23,2020-04-24,1,2,4000,Completed
BK-2020-00077,David Chua,david.chua.062@yahoo.com,R-105,2020-04-23,2020-04-25,2,3,9900,Completed
BK-2020-00078,Hannah Bennett,hannah.bennett.040.2@gmail.com,R-204,2020-04-24,2020-04-28,4,1,17000,Completed
BK-2020-00079,Arjun Garcia,arjun.garcia.083@proton.me,R-201,2020-04-25,2020-04-28,3,1,8500,Completed
BK-2020-00080,Julia Chua,julia.chua.030.2@gmail.com,R-101,2020-04-27,2020-05-02,5,1,13400,Completed
BK-2020-00081,Maria Garcia,maria.garcia.091@outlook.com,R-306,2020-04-29,2020-05-03,4,3,26000,Completed
BK-2020-00082,Priya Singh,priya.singh.005.2@gmail.com,R-202,2020-04-30,2020-05-07,7,2,18800,Completed
BK-2020-00083,Lucas Garcia,lucas.garcia.107@yahoo.com,R-201,2020-05-01,2020-05-04,3,2,8500,Completed
BK-2020-00084,Elena OBrien,elena.obrien.058.2@proton.me,R-201,2020-05-02,2020-05-05,3,1,8500,Completed
BK-2020-00085,Oscar Lee,oscar.lee.087@yahoo.com,R-105,2020-05-04,2020-05-06,2,4,9900,Completed
BK-2020-00086,Elena Chua,elena.chua.118@proton.me,R-404,2020-05-08,2020-05-12,4,5,20800,Completed
BK-2020-00087,Hannah Patel,hannah.patel.100@gmail.com,R-105,2020-05-08,2020-05-10,2,3,10400,Completed
BK-2020-00088,Oscar Singh,oscar.singh.117@yahoo.com,R-302,2020-05-11,2020-05-14,3,3,12100,Completed
BK-2020-00089,Maria Garcia,maria.garcia.091@outlook.com,R-204,2020-05-12,2020-05-18,6,2,24200,Completed
BK-2020-00090,Liam OBrien,liam.obrien.066@outlook.com,R-305,2020-05-13,2020-05-14,1,4,6500,Completed
BK-2020-00091,Arjun Garcia,arjun.garcia.083@proton.me,R-106,2020-05-13,2020-05-18,5,2,24600,Completed
BK-2020-00092,Grace OBrien,grace.obrien.050.2@gmail.com,R-202,2020-05-14,2020-05-16,2,1,5400,Completed
BK-2020-00093,Julia OBrien,julia.obrien.090@gmail.com,R-201,2020-05-15,2020-05-19,4,1,0,Cancelled
BK-2020-00094,Chen Lee,chen.lee.007.2@yahoo.com,R-102,2020-05-16,2020-05-23,7,2,19800,Completed
BK-2020-00095,Samir Lee,samir.lee.119@icloud.com,R-105,2020-05-16,2020-05-19,3,3,15600,Completed
BK-2020-00096,Sofia Patel,sofia.patel.068@proton.me,R-304,2020-05-22,2020-05-25,3,2,15600,Completed
BK-2020-00097,Arjun Singh,arjun.singh.053.2@proton.me,R-206,2020-05-23,2020-05-27,4,2,17000,Completed
BK-2020-00098,Isabella Bennett,isabella.bennett.104@icloud.com,R-103,2020-05-24,2020-05-27,3,2,8100,Completed
BK-2020-00099,Amara Patel,amara.patel.012.2@yahoo.com,R-305,2020-05-24,2020-05-28,4,4,26000,Completed
BK-2020-00100,Isabella OBrien,isabella.obrien.074@icloud.com,R-205,2020-05-26,2020-05-28,2,1,0,Cancelled
BK-2020-00101,Samir Tanaka,samir.tanaka.089@icloud.com,R-106,2020-05-27,2020-05-29,2,3,9900,Completed
BK-2020-00102,Grace Chua,grace.chua.110@gmail.com,R-103,2020-05-30,2020-06-02,3,2,0,Cancelled
BK-2020-00103,Rafael Lee,rafael.lee.079@icloud.com,R-201,2020-06-03,2020-06-06,3,2,7200,Completed
BK-2020-00104,Arjun Garcia,arjun.garcia.083@proton.me,R-201,2020-06-05,2020-06-08,3,2,7600,Completed
BK-2020-00105,Amara Chua,amara.chua.102@yahoo.com,R-205,2020-06-05,2020-06-07,2,3,7600,Completed
BK-2020-00106,Clara Patel,clara.patel.084@icloud.com,R-203,2020-06-09,2020-06-10,1,2,3600,Completed
BK-2020-00107,James OBrien,james.obrien.034.2@icloud.com,R-304,2020-06-11,2020-06-13,2,4,8800,Completed
BK-2020-00108,Maria Singh,maria.singh.061.2@outlook.com,R-204,2020-06-12,2020-06-13,1,2,3800,Completed
BK-2020-00109,Samir Tanaka,samir.tanaka.089@icloud.com,R-103,2020-06-14,2020-06-16,2,2,0,Cancelled
BK-2020-00110,Andre Lee,andre.lee.055.2@gmail.com,R-101,2020-06-14,2020-06-16,2,1,4800,Completed
BK-2020-00111,Kenji Garcia,kenji.garcia.011.2@outlook.com,R-203,2020-06-20,2020-06-22,2,1,7600,Completed
BK-2020-00112,Arjun Singh,arjun.singh.053.2@proton.me,R-206,2020-06-20,2020-06-22,2,2,7600,Completed
BK-2020-00113,Nina Bennett,nina.bennett.056.2@outlook.com,R-104,2020-06-23,2020-06-27,4,2,9600,Completed
BK-2020-00114,Noah Singh,noah.singh.013.2@proton.me,R-404,2020-06-29,2020-07-02,3,4,13200,Completed
BK-2020-00115,Rafael Singh,rafael.singh.109@icloud.com,R-102,2020-07-01,2020-07-02,1,1,2400,Completed
BK-2020-00116,Oscar Garcia,oscar.garcia.027.2@yahoo.com,R-301,2020-07-01,2020-07-02,1,3,3600,Completed
BK-2020-00117,Aiko Garcia,aiko.garcia.003.2@proton.me,R-303,2020-07-01,2020-07-04,3,4,13200,Completed
BK-2020-00118,Maria Garcia,maria.garcia.091@outlook.com,R-102,2020-07-03,2020-07-06,3,2,7600,Completed
BK-2020-00119,Noah Singh,noah.singh.013.2@proton.me,R-303,2020-07-03,2020-07-10,7,4,32600,Completed
BK-2020-00120,Liam OBrien,liam.obrien.066@outlook.com,R-106,2020-07-04,2020-07-08,4,5,18700,Completed
BK-2020-00121,Andre Lee,andre.lee.055.2@gmail.com,R-404,2020-07-05,2020-07-09,4,5,17600,Completed
BK-2020-00122,Andre Garcia,andre.garcia.115@gmail.com,R-401,2020-07-07,2020-07-11,4,4,23200,Completed
BK-2020-00123,Miguel Lee,miguel.lee.039.2@icloud.com,R-205,2020-07-10,2020-07-13,3,3,11400,Completed
BK-2020-00124,David Bennett,david.bennett.032.2@yahoo.com,R-302,2020-07-11,2020-07-17,6,1,22900,Completed
BK-2020-00125,Daniel Tanaka,daniel.tanaka.081@outlook.com,R-301,2020-07-13,2020-07-16,3,2,10800,Completed
BK-2020-00126,Oscar Tanaka,oscar.tanaka.057.2@yahoo.com,R-202,2020-07-15,2020-07-18,3,1,7200,Completed
BK-2020-00127,Liam Patel,liam.patel.036.2@outlook.com,R-301,2020-07-19,2020-07-21,2,3,7200,Completed
BK-2020-00128,Amara Patel,amara.patel.012.2@yahoo.com,R-103,2020-07-25,2020-07-31,6,1,15300,Completed
BK-2020-00129,Chen Tanaka,chen.tanaka.097@yahoo.com,R-101,2020-07-26,2020-07-28,2,1,4800,Completed
BK-2020-00130,Samir Singh,samir.singh.029.2@icloud.com,R-302,2020-07-30,2020-08-02,3,3,10800,Completed
BK-2020-00131,Nina OBrien,nina.obrien.026.2@outlook.com,R-106,2020-08-02,2020-08-03,1,4,4400,Completed
BK-2020-00132,Arjun Singh,arjun.singh.053.2@proton.me,R-206,2020-08-02,2020-08-03,1,2,3600,Completed
BK-2020-00133,Yuna OBrien,yuna.obrien.018.2@proton.me,R-202,2020-08-04,2020-08-05,1,1,2400,Completed
BK-2020-00134,Julia OBrien,julia.obrien.090@gmail.com,R-205,2020-08-11,2020-08-14,3,3,10800,Completed
BK-2020-00135,Lucas Lee,lucas.lee.047.2@yahoo.com,R-304,2020-08-12,2020-08-15,3,1,13200,Completed
BK-2020-00136,Hannah Chua,hannah.chua.070@gmail.com,R-402,2020-08-16,2020-08-20,4,3,23200,Completed
BK-2020-00137,Nina OBrien,nina.obrien.026.2@outlook.com,R-302,2020-08-20,2020-08-22,2,3,7200,Completed
BK-2020-00138,Arjun Tanaka,arjun.tanaka.113@proton.me,R-206,2020-08-25,2020-08-30,5,2,0,Cancelled
BK-2020-00139,Grace Bennett,grace.bennett.080@gmail.com,R-402,2020-08-27,2020-08-29,2,1,11600,Completed
BK-2020-00140,Miguel Garcia,miguel.garcia.099@icloud.com,R-102,2020-08-28,2020-08-30,2,2,5100,Completed
BK-2020-00141,Yuna Patel,yuna.patel.108@proton.me,R-202,2020-08-29,2020-09-02,4,1,0,Cancelled
BK-2020-00142,Daniel Lee,daniel.lee.111@outlook.com,R-203,2020-08-30,2020-09-02,3,1,10800,Completed
BK-2020-00143,Nina Chua,nina.chua.086@outlook.com,R-103,2020-09-01,2020-09-08,7,1,16800,Completed
BK-2020-00144,James Bennett,james.bennett.064@icloud.com,R-101,2020-09-01,2020-09-08,7,2,0,Cancelled
BK-2020-00145,Nina Chua,nina.chua.086@outlook.com,R-201,2020-09-10,2020-09-13,3,2,7200,Completed
BK-2020-00146,Maya Bennett,maya.bennett.016.2@outlook.com,R-205,2020-09-11,2020-09-16,5,2,19100,Completed
BK-2020-00147,Samir Lee,samir.lee.119@icloud.com,R-206,2020-09-11,2020-09-12,1,2,3800,Completed
BK-2020-00148,Elena Bennett,elena.bennett.088@proton.me,R-205,2020-09-11,2020-09-15,4,1,15300,Completed
BK-2020-00149,Ethan Singh,ethan.singh.045.2@gmail.com,R-301,2020-09-15,2020-09-16,1,2,3600,Completed
BK-2020-00150,Ethan Singh,ethan.singh.045.2@gmail.com,R-201,2020-09-16,2020-09-19,3,1,7200,Completed
BK-2020-00151,Maria Garcia,maria.garcia.091@outlook.com,R-306,2020-09-17,2020-09-18,1,4,5800,Completed
BK-2020-00152,Maria Tanaka,maria.tanaka.001.2@outlook.com,R-205,2020-09-18,2020-09-20,2,1,7600,Completed
BK-2020-00153,Oscar Lee,oscar.lee.087@yahoo.com,R-203,2020-09-22,2020-09-25,3,2,0,Cancelled
BK-2020-00154,Isabella Patel,isabella.patel.044.2@icloud.com,R-103,2020-09-25,2020-09-30,5,1,12700,Completed
BK-2020-00155,Rafael Tanaka,rafael.tanaka.049.2@icloud.com,R-401,2020-09-25,2020-09-30,5,3,30700,Completed
BK-2020-00156,Amara OBrien,amara.obrien.042.2@yahoo.com,R-206,2020-09-26,2020-09-27,1,1,3800,Completed
BK-2020-00157,Daniel Tanaka,daniel.tanaka.081@outlook.com,R-103,2020-09-30,2020-10-07,7,2,16800,Completed
BK-2020-00158,Priya Lee,priya.lee.095@gmail.com,R-301,2020-09-30,2020-10-01,1,2,0,Cancelled
BK-2020-00159,Julia Bennett,julia.bennett.120@gmail.com,R-203,2020-10-03,2020-10-05,2,1,7600,Completed
BK-2020-00160,David Chua,david.chua.062@yahoo.com,R-103,2020-10-04,2020-10-07,3,1,7200,Completed
BK-2020-00161,Amara OBrien,amara.obrien.042.2@yahoo.com,R-206,2020-10-05,2020-10-07,2,1,7200,Completed
BK-2020-00162,Yuna Bennett,yuna.bennett.048.2@proton.me,R-404,2020-10-10,2020-10-16,6,1,28000,Completed
BK-2020-00163,Mei Patel,mei.patel.052.2@yahoo.com,R-203,2020-10-16,2020-10-18,2,3,7600,Completed
BK-2020-00164,Rafael Lee,rafael.lee.079@icloud.com,R-302,2020-10-17,2020-10-21,4,2,15300,Completed
BK-2020-00165,Priya Singh,priya.singh.005.2@gmail.com,R-306,2020-10-19,2020-10-21,2,3,11600,Completed
BK-2020-00166,Amara OBrien,amara.obrien.042.2@yahoo.com,R-304,2020-10-24,2020-10-26,2,1,0,Cancelled
BK-2020-00167,James Bennett,james.bennett.064@icloud.com,R-304,2020-10-28,2020-11-04,7,5,30800,Completed
BK-2020-00168,Miguel Garcia,miguel.garcia.099@icloud.com,R-206,2020-11-01,2020-11-05,4,2,16100,Completed
BK-2020-00169,Priya Singh,priya.singh.005.2@gmail.com,R-104,2020-11-03,2020-11-09,6,1,16100,Completed
BK-2020-00170,Hannah OBrien,hannah.obrien.010.2@gmail.com,R-102,2020-11-06,2020-11-10,4,1,11300,Completed
BK-2020-00171,David Bennett,david.bennett.032.2@yahoo.com,R-402,2020-11-07,2020-11-10,3,4,20500,Completed
BK-2020-00172,Yuna Chua,yuna.chua.078@proton.me,R-104,2020-11-08,2020-11-14,6,2,16100,Completed
BK-2020-00173,Aiko Singh,aiko.singh.093@proton.me,R-302,2020-11-08,2020-11-11,3,2,12100,Completed
BK-2020-00174,Arjun Singh,arjun.singh.053.2@proton.me,R-206,2020-11-10,2020-11-14,4,3,16100,Completed
BK-2020-00175,Arjun Tanaka,arjun.tanaka.113@proton.me,R-201,2020-11-10,2020-11-13,3,2,8100,Completed
BK-2020-00176,Nina Chua,nina.chua.086@outlook.com,R-306,2020-11-11,2020-11-14,3,2,0,Cancelled
BK-2020-00177,Nina Patel,nina.patel.116@outlook.com,R-105,2020-11-11,2020-11-18,7,4,34500,Completed
BK-2020-00178,Isabella Bennett,isabella.bennett.104@icloud.com,R-302,2020-11-13,2020-11-20,7,1,29700,Completed
BK-2020-00179,Elena Bennett,elena.bennett.088@proton.me,R-306,2020-11-15,2020-11-18,3,2,19500,Completed
BK-2020-00180,Liam Bennett,liam.bennett.096@outlook.com,R-304,2020-11-18,2020-11-21,3,5,14800,Completed
BK-2020-00181,Hannah Patel,hannah.patel.100@gmail.com,R-202,2020-11-24,2020-11-27,3,1,8100,Completed
BK-2020-00182,Andre Tanaka,andre.tanaka.025.2@gmail.com,R-203,2020-11-26,2020-11-30,4,1,16100,Completed
BK-2020-00183,David Bennett,david.bennett.032.2@yahoo.com,R-303,2020-11-27,2020-11-30,3,3,15600,Completed
BK-2020-00184,Miguel Singh,miguel.singh.069@icloud.com,R-302,2020-11-27,2020-11-28,1,2,4200,Completed
BK-2020-00185,Ethan Singh,ethan.singh.045.2@gmail.com,R-103,2020-11-27,2020-12-01,4,2,11300,Completed
BK-2020-00186,Elena Chua,elena.chua.118@proton.me,R-205,2020-11-27,2020-12-01,4,3,17000,Completed
BK-2020-00187,Oscar Garcia,oscar.garcia.027.2@yahoo.com,R-402,2020-11-29,2020-12-02,3,2,19500,Completed
BK-2020-00188,Maria Lee,maria.lee.031.2@outlook.com,R-305,2020-12-01,2020-12-02,1,2,6500,Completed
BK-2020-00189,Sofia OBrien,sofia.obrien.098@proton.me,R-105,2020-12-02,2020-12-04,2,3,9900,Completed
BK-2020-00190,Sofia Patel,sofia.patel.068@proton.me,R-102,2020-12-03,2020-12-05,2,2,5400,Completed
BK-2020-00191,Maria Tanaka,maria.tanaka.001.2@outlook.com,R-303,2020-12-06,2020-12-10,4,3,19700,Completed
BK-2020-00192,Lucas Garcia,lucas.garcia.107@yahoo.com,R-204,2020-12-06,2020-12-11,5,2,20200,Completed
BK-2020-00193,David OBrien,david.obrien.002.2@yahoo.com,R-102,2020-12-07,2020-12-09,2,1,5400,Completed
BK-2020-00194,Amara OBrien,amara.obrien.042.2@yahoo.com,R-403,2020-12-08,2020-12-12,4,3,19700,Completed
BK-2020-00195,Noah Lee,noah.lee.103@proton.me,R-102,2020-12-09,2020-12-13,4,2,10800,Completed
BK-2020-00196,Mei Bennett,mei.bennett.112@yahoo.com,R-204,2020-12-09,2020-12-11,2,1,8100,Completed
BK-2020-00197,Elena Chua,elena.chua.118@proton.me,R-104,2020-12-10,2020-12-14,4,1,10800,Completed
BK-2020-00198,Ethan Garcia,ethan.garcia.075@gmail.com,R-103,2020-12-12,2020-12-15,3,2,8500,Completed
BK-2020-00199,Amara Patel,amara.patel.012.2@yahoo.com,R-301,2020-12-14,2020-12-16,2,3,8100,Completed
BK-2020-00200,Ethan Lee,ethan.lee.015.2@gmail.com,R-201,2020-12-16,2020-12-18,2,1,5400,Completed
BK-2020-00201,Chen Lee,chen.lee.007.2@yahoo.com,R-204,2020-12-17,2020-12-19,2,2,8100,Completed
BK-2020-00202,Maria Tanaka,maria.tanaka.001.2@outlook.com,R-101,2020-12-18,2020-12-21,3,2,8500,Completed
BK-2020-00203,Yuna Bennett,yuna.bennett.048.2@proton.me,R-404,2020-12-20,2020-12-24,4,3,19700,Completed
BK-2020-00204,Julia Chua,julia.chua.030.2@gmail.com,R-204,2020-12-20,2020-12-25,5,1,20200,Completed
BK-2020-00205,Daniel Singh,daniel.singh.021.2@outlook.com,R-304,2020-12-21,2020-12-24,3,4,14800,Completed
BK-2020-00206,Julia Patel,julia.patel.060.2@gmail.com,R-302,2020-12-22,2020-12-24,2,1,8100,Completed
BK-2020-00207,Julia Patel,julia.patel.060.2@gmail.com,R-303,2020-12-24,2020-12-28,4,4,19700,Completed
BK-2020-00208,Nina OBrien,nina.obrien.026.2@outlook.com,R-204,2020-12-25,2020-12-28,3,1,12700,Completed
BK-2020-00209,Elena OBrien,elena.obrien.058.2@proton.me,R-305,2020-12-26,2020-12-30,4,4,27400,Completed
BK-2020-00210,Clara Bennett,clara.bennett.024.2@icloud.com,R-304,2020-12-28,2020-12-31,3,1,14800,Completed
BK-2020-00211,Oscar Lee,oscar.lee.087@yahoo.com,R-201,2020-12-31,2021-01-01,1,1,2700,Completed
BK-2021-00212,Elena Patel,elena.patel.028.2@proton.me,R-103,2021-01-02,2021-01-09,7,2,0,Cancelled
BK-2021-00213,Aiko Garcia,aiko.garcia.003.2@proton.me,R-202,2021-01-03,2021-01-04,1,2,2400,Completed
BK-2021-00214,Aiko Singh,aiko.singh.093@proton.me,R-304,2021-01-04,2021-01-08,4,5,17600,Completed
BK-2021-00215,Sofia Patel,sofia.patel.068@proton.me,R-204,2021-01-07,2021-01-13,6,2,21600,Completed
BK-2021-00216,Yuna OBrien,yuna.obrien.018.2@proton.me,R-104,2021-01-08,2021-01-13,5,2,12700,Completed
BK-2021-00217,Andre Garcia,andre.garcia.115@gmail.com,R-305,2021-01-08,2021-01-11,3,1,0,Cancelled
BK-2021-00218,Maya Bennett,maya.bennett.016.2@outlook.com,R-204,2021-01-09,2021-01-14,5,1,19100,Completed
BK-2021-00219,Elena Bennett,elena.bennett.088@proton.me,R-302,2021-01-09,2021-01-13,4,3,15300,Completed
BK-2021-00220,Isabella Chua,isabella.chua.014.2@icloud.com,R-302,2021-01-11,2021-01-13,2,2,7200,Completed
BK-2021-00221,Daniel Tanaka,daniel.tanaka.081@outlook.com,R-201,2021-01-12,2021-01-13,1,1,2400,Completed
BK-2021-00222,Noah Singh,noah.singh.013.2@proton.me,R-303,2021-01-14,2021-01-20,6,3,26400,Completed
BK-2021-00223,Isabella Chua,isabella.chua.014.2@icloud.com,R-205,2021-01-17,2021-01-23,6,1,21600,Completed
BK-2021-00224,Elena Bennett,elena.bennett.088@proton.me,R-403,2021-01-17,2021-01-18,1,2,4400,Completed
